Instancia,Solucao Guloso,Solucao Ref,Desvio %,Rotas
BHW1,411.0,337.0,21.96,6
BHW10,9244.0,8482.0,8.98,13
BHW11,0.0,4883.0,-100.0,0
BHW12,61.0,10849.0,-99.44,1
BHW13,245.0,14318.0,-98.29,2
BHW14,20842.0,24758.0,-15.82,46
BHW15,2100.0,15356.0,-86.32,9
BHW16,33679.0,43682.0,-22.9,77
BHW17,2473.0,25960.0,-90.47,12
BHW18,15338.0,15208.0,0.85,26
BHW19,491.0,9379.0,-94.76,4
BHW2,505.0,470.0,7.45,6
BHW20,2642.0,16257.0,-83.75,6
BHW3,161.0,415.0,-61.2,3
BHW4,277.0,240.0,15.42,9
BHW5,872.0,502.0,73.71,7
BHW6,650.0,388.0,67.53,5
BHW7,1567.0,1062.0,47.55,24
BHW8,822.0,668.0,23.05,22
BHW9,1132.0,865.0,30.87,18
CBMix1,0.0,2569.0,-100.0,0
CBMix10,7112.0,7462.0,-4.69,26
CBMix11,0.0,4456.0,-100.0,0
CBMix12,1943.0,3138.0,-38.08,9
CBMix13,0.0,8983.0,-100.0,0
CBMix14,0.0,8420.0,-100.0,0
CBMix15,8718.0,8164.0,6.79,26
CBMix16,19803.0,8605.0,130.13,22
CBMix17,0.0,4034.0,-100.0,0
CBMix18,0.0,6979.0,-100.0,0
CBMix19,1205.0,16024.0,-92.48,3
CBMix2,1035.0,11658.0,-91.12,2
CBMix20,1894.0,4738.0,-60.03,2
CBMix21,29182.0,17789.0,64.05,36
CBMix22,0.0,1941.0,-100.0,0
CBMix23,1049.0,780.0,34.49,3
CBMix3,10568.0,3614.0,192.42,12
CBMix4,9544.0,7475.0,27.68,23
CBMix5,133.0,4459.0,-97.02,1
CBMix6,2857.0,6813.0,-58.07,5
CBMix7,4344.0,9323.0,-53.41,7
CBMix8,11185.0,10271.0,8.9,14
CBMix9,4921.0,3965.0,24.11,12
DI-NEARP-n240-Q16k,0.0,14717.0,-100.0,0
DI-NEARP-n240-Q2k,0.0,23894.0,-100.0,0
DI-NEARP-n240-Q4k,0.0,18184.0,-100.0,0
DI-NEARP-n240-Q8k,0.0,15897.0,-100.0,0
DI-NEARP-n422-Q16k,0.0,14364.0,-100.0,0
DI-NEARP-n422-Q2k,0.0,18910.0,-100.0,0
DI-NEARP-n422-Q4k,0.0,15865.0,-100.0,0
DI-NEARP-n422-Q8k,0.0,14443.0,-100.0,0
DI-NEARP-n442-Q16k,0.0,42681.0,-100.0,0
DI-NEARP-n442-Q2k,0.0,50447.0,-100.0,0
DI-NEARP-n442-Q4k,0.0,44950.0,-100.0,0
DI-NEARP-n442-Q8k,0.0,43261.0,-100.0,0
DI-NEARP-n477-Q16k,91.0,17932.0,-99.49,1
DI-NEARP-n477-Q2k,91.0,22893.0,-99.6,1
DI-NEARP-n477-Q4k,91.0,19954.0,-99.54,1
DI-NEARP-n477-Q8k,91.0,18492.0,-99.51,1
DI-NEARP-n699-Q16k,557.0,26892.0,-97.93,1
DI-NEARP-n699-Q2k,557.0,59058.0,-99.06,1
DI-NEARP-n699-Q4k,557.0,39918.0,-98.6,1
DI-NEARP-n699-Q8k,557.0,30627.0,-98.18,1
DI-NEARP-n833-Q16k,299.0,32529.0,-99.08,1
DI-NEARP-n833-Q2k,299.0,56273.0,-99.47,1
DI-NEARP-n833-Q4k,299.0,41059.0,-99.27,1
DI-NEARP-n833-Q8k,299.0,34555.0,-99.13,1
mggdb_0.25_1,270.0,280.0,-3.57,5
mggdb_0.25_10,136.0,265.0,-48.68,6
mggdb_0.25_11,453.0,356.0,27.25,9
mggdb_0.25_12,483.0,459.0,5.23,8
mggdb_0.25_13,765.0,384.0,99.22,7
mggdb_0.25_14,96.0,107.0,-10.28,10
mggdb_0.25_15,95.0,55.0,72.73,6
mggdb_0.25_16,155.0,98.0,58.16,13
mggdb_0.25_17,134.0,71.0,88.73,5
mggdb_0.25_18,276.0,144.0,91.67,5
mggdb_0.25_19,27.0,53.0,-49.06,3
mggdb_0.25_2,371.0,349.0,6.3,3
mggdb_0.25_20,100.0,116.0,-13.79,3
mggdb_0.25_21,136.0,146.0,-6.85,6
mggdb_0.25_22,257.0,160.0,60.62,16
mggdb_0.25_23,350.0,181.0,93.37,12
mggdb_0.25_3,331.0,278.0,19.06,5
mggdb_0.25_4,150.0,289.0,-48.1,4
mggdb_0.25_5,353.0,394.0,-10.41,6
mggdb_0.25_6,346.0,292.0,18.49,6
mggdb_0.25_7,207.0,290.0,-28.62,6
mggdb_0.25_8,172.0,336.0,-48.81,4
mggdb_0.25_9,449.0,309.0,45.31,16
mggdb_0.30_1,210.0,273.0,-23.08,5
mggdb_0.30_10,15.0,242.0,-93.8,1
mggdb_0.30_11,116.0,387.0,-70.03,4
mggdb_0.30_12,437.0,467.0,-6.42,7
mggdb_0.30_13,1324.0,474.0,179.32,7
mggdb_0.30_14,211.0,101.0,108.91,5
mggdb_0.30_15,126.0,44.0,186.36,4
mggdb_0.30_16,155.0,105.0,47.62,5
mggdb_0.30_17,137.0,65.0,110.77,6
mggdb_0.30_18,255.0,144.0,77.08,6
mggdb_0.30_19,54.0,51.0,5.88,3
mggdb_0.30_2,361.0,301.0,19.93,7
mggdb_0.30_20,142.0,93.0,52.69,6
mggdb_0.30_21,264.0,121.0,118.18,6
mggdb_0.30_22,280.0,153.0,83.01,9
mggdb_0.30_23,306.0,167.0,83.23,10
mggdb_0.30_3,160.0,270.0,-40.74,7
mggdb_0.30_4,210.0,260.0,-19.23,7
mggdb_0.30_5,295.0,388.0,-23.97,7
mggdb_0.30_6,373.0,276.0,35.14,5
mggdb_0.30_7,234.0,273.0,-14.29,6
mggdb_0.30_8,206.0,331.0,-37.76,6
mggdb_0.30_9,279.0,281.0,-0.71,11
mggdb_0.35_1,94.0,252.0,-62.7,5
mggdb_0.35_10,184.0,268.0,-31.34,4
mggdb_0.35_11,726.0,303.0,139.6,6
mggdb_0.35_12,293.0,461.0,-36.44,7
mggdb_0.35_13,530.0,417.0,27.1,4
mggdb_0.35_14,148.0,84.0,76.19,6
mggdb_0.35_15,73.0,44.0,65.91,3
mggdb_0.35_16,188.0,75.0,150.67,5
mggdb_0.35_17,107.0,62.0,72.58,4
mggdb_0.35_18,227.0,135.0,68.15,11
mggdb_0.35_19,16.0,51.0,-68.63,1
mggdb_0.35_2,471.0,284.0,65.85,10
mggdb_0.35_20,119.0,95.0,25.26,5
mggdb_0.35_21,170.0,120.0,41.67,7
mggdb_0.35_22,268.0,139.0,92.81,10
mggdb_0.35_23,430.0,179.0,140.22,11
mggdb_0.35_3,126.0,243.0,-48.15,4
mggdb_0.35_4,103.0,242.0,-57.44,4
mggdb_0.35_5,177.0,309.0,-42.72,7
mggdb_0.35_6,351.0,262.0,33.97,6
mggdb_0.35_7,268.0,272.0,-1.47,6
mggdb_0.35_8,29.0,316.0,-90.82,3
mggdb_0.35_9,313.0,266.0,17.67,8
mggdb_0.40_1,136.0,279.0,-51.25,5
mggdb_0.40_10,258.0,191.0,35.08,6
mggdb_0.40_11,20.0,283.0,-92.93,1
mggdb_0.40_12,98.0,412.0,-76.21,4
mggdb_0.40_13,507.0,395.0,28.35,5
mggdb_0.40_14,121.0,62.0,95.16,5
mggdb_0.40_15,115.0,37.0,210.81,4
mggdb_0.40_16,198.0,84.0,135.71,8
mggdb_0.40_17,128.0,65.0,96.92,4
mggdb_0.40_18,243.0,119.0,104.2,4
mggdb_0.40_19,50.0,38.0,31.58,4
mggdb_0.40_2,140.0,308.0,-54.55,4
mggdb_0.40_20,116.0,94.0,23.4,4
mggdb_0.40_21,80.0,104.0,-23.08,9
mggdb_0.40_22,190.0,129.0,47.29,10
mggdb_0.40_23,371.0,160.0,131.88,15
mggdb_0.40_3,222.0,225.0,-1.33,6
mggdb_0.40_4,201.0,238.0,-15.55,5
mggdb_0.40_5,46.0,344.0,-86.63,2
mggdb_0.40_6,67.0,270.0,-75.19,2
mggdb_0.40_7,51.0,282.0,-81.91,3
mggdb_0.40_8,153.0,331.0,-53.78,6
mggdb_0.40_9,257.0,275.0,-6.55,9
mggdb_0.45_1,124.0,259.0,-52.12,3
mggdb_0.45_10,16.0,214.0,-92.52,1
mggdb_0.45_11,121.0,297.0,-59.26,2
mggdb_0.45_12,36.0,393.0,-90.84,1
mggdb_0.45_13,392.0,403.0,-2.73,5
mggdb_0.45_14,102.0,66.0,54.55,4
